"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"13245","8.705912","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13246","8.705912","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13247","8.705912","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13267","8.707550","10.1.0.10","10.1.0.11","TCP","2504","","","fisa-svc(7018)  >  49162 [ACK] Seq=1 Ack=3314001 Win=131072 Len=0 TSval=8718 TSecr=8645"
"13271","8.717280","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13272","8.717280","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13273","8.717280","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13290","8.718466","10.1.0.10","10.1.0.11","TCP","604","","","fisa-svc(7018)  >  49162 [ACK] Seq=1 Ack=3328001 Win=131072 Len=0 TSval=8729 TSecr=8656"
"13313","8.729362","10.1.0.10","10.1.0.11","WebSocket","7528","","","WebSocket Continuation[FRAGMENT]  "
"13315","8.738995","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13316","8.738995","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13317","8.738995","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13337","8.749905","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13338","8.749905","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13339","8.749905","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13358","8.751188","10.1.0.10","10.1.0.11","TCP","1060","","","fisa-svc(7018)  >  49162 [ACK] Seq=1 Ack=3354001 Win=131072 Len=0 TSval=8762 TSecr=8677"
"13360","8.756876","10.1.0.11","10.1.0.10","TCP","1458","-42 dBm","","doceri-ctl(7019)  >  49153 [ACK] Seq=1 Ack=1332001 Win=131072 Len=0 TSval=8746 TSecr=8505"
"13380","8.758184","10.1.0.10","10.1.0.11","WebSocket","4800","","","WebSocket Continuation[FRAGMENT]  "
"13384","8.766371","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13385","8.766371","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13386","8.766371","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13407","8.767779","10.1.0.10","10.1.0.11","WebSocket","6376","","","WebSocket Continuation[FRAGMENT]  "
"13409","8.777172","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13410","8.777172","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13411","8.777172","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13432","8.778624","10.1.0.10","10.1.0.11","WebSocket","7028","","","WebSocket Continuation[FRAGMENT]  "
"13454","8.789534","10.1.0.10","10.1.0.11","WebSocket","6528","","","WebSocket Continuation[FRAGMENT]  "
"13456","8.799091","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13457","8.799091","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13458","8.799091","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13479","8.800534","10.1.0.10","10.1.0.11","WebSocket","6528","","","WebSocket Continuation[FRAGMENT]  "
"13481","8.810055","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"13482","8.810055","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
