"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"30156","5.407356","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30157","5.407356","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"30198","5.418167","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"30228","5.418271","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30229","5.418271","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30230","5.418271","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"30265","5.429100","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"30333","5.440440","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"30344","5.440589","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30345","5.440589","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30346","5.440589","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"30393","5.451400","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"30413","5.451540","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30414","5.451540","10.1.0.11","10.1.0.6","WebSocket","5894","","","WebSocket Continuation[FRAGMENT]  "
"30448","5.462399","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"30499","5.473343","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"30548","5.478826","10.1.0.6","10.1.0.11","TCP","832","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=490001 Win=131072 Len=0 TSval=5421 TSecr=5381"
"30569","5.478948","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30570","5.478948","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30571","5.478948","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"30610","5.489756","10.1.0.6","10.1.0.11","TCP","1668","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=552501 Win=131072 Len=0 TSval=5495 TSecr=5491"
"30630","5.489984","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30631","5.489984","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30680","5.495328","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30681","5.495328","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30682","5.495328","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"30724","5.506141","10.1.0.6","10.1.0.11","TCP","680","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=576501 Win=131072 Len=0 TSval=5511 TSecr=5501"
"30744","5.506351","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30745","5.506351","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30788","5.517039","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"30811","5.517125","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30812","5.517125","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30813","5.517125","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"30855","5.527949","10.1.0.6","10.1.0.11","WebSocket","4800","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"30885","5.528044","10.1.0.11","10.1.0.6","WebSocket","7046","","","WebSocket Continuation[FRAGMENT]  "
"30886","5.528044","10.1.0.11","10.1.0.6","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"30887","5.528044","10.1.0.11","10.1.0.6","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"30919","5.539179","10.1.0.6","10.1.0.11","TCP","1212","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=616001 Win=131072 Len=0 TSval=5544 TSecr=5509"
"31006","5.550142","10.1.0.11","10.1.0.6","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
